"処理No.","タスク名（大項目）","タスク名（中項目）","タスク詳細","ディレクトリ名","ディレクトリ詳細","ファイル名","ファイル詳細","メソッドクラス詳細","単体テスト","結合テスト"
"053","Frontend API構築","PDF Download API Client","PDF Download API Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/reports/api","PDF Download API Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・download-report-pdf.ts
　→責務: PDF Blobを取得し、Filenameを解析してBrowser Downloadを開始し、Object URLを解放する。","PDF Download API Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/reports/api/download-report-pdf.ts】
・downloadReportPdf（関数）
　→PDF Responseを取得しContent-DispositionからFilenameを解決してBrowser Downloadを開始する。","・正常Blob
　（PDF相当Blobを返し、Object URL生成、Download Click、URL解放までを確認する。）
・Filename
　（HeaderまたはMetadataから安全なFilenameが生成・表示されることを確認する。）
・HTTP Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・非JSON
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・URL解放
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・PdfDownloadButtonからReport IDを渡してDownload状態を確認
　（Report IDをButtonからAPIへ渡し、Pending、Blob取得、Download開始、完了状態を確認する。）"
"054","Frontend API構築","Chat API Client","Chat API Clientを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/chat/api","Chat API Clientに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・frontend/src/features/chat/api/chat.ts
　→責務: POST /api/v1/chatへRequestを送りAnswerとSourcesを取得する。","Chat API Clientを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/chat/api/chat.ts】
・sendRagChat（関数）
　→Chat RequestとAbortSignalをapiRequestへ渡しResponseを返す。","・正常回答
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・Source
　（複数のRAG Sourceを与え、Chunk Type、設備、日付、Similarityが正しく表示されることを確認する。）
・Abort
　（進行中RequestをAbortし、不要なError表示や遅延Response反映が起きないことを確認する。）
・HTTP/Network
　（fetchをrejectさせ、Network Errorが共通ApiErrorまたはUI Errorへ変換されることを確認する。）","・useRagChat→ChatMessage
　（質問入力からRAG検索、AI回答、Message追加、Source表示までを確認する。）"
"055","Frontend Hook構築","useMeasurements","useMeasurementsを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/dashboard/hooks","useMeasurementsに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・useMeasurements.ts
　→責務: Measurement取得のLoading、Success、Error、Reset、多重実行防止を管理するHook。","useMeasurementsを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/dashboard/hooks/useMeasurements.ts】
・useMeasurements（Hook）
　→Measurement取得Stateと操作を提供する。
・load（メソッド）
　→getMeasurementsを実行してloading/success/errorを更新する。
・reset（メソッド）
　→Stateをidleへ戻す。
・toApiError（内部関数）
　→unknown ErrorをApiErrorへ変換する。","・初期
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Loading
　（未完了Promiseを使い、処理中だけLoading表示と操作無効化が有効になることを確認する。）
・成功
　（依存処理を成功させ、結果Data、Success状態、後続Callbackが正しく反映されることを確認する。）
・Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・多重
　（処理中に同じ操作を再度実行し、APIやWorkflowが1回だけ呼ばれることを確認する。）
・Reset
　（成功または失敗後にresetを実行し、Data、Error、Progressが初期状態へ戻ることを確認する。）","・Dashboard→Hook→Chart/Summary
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"056","Frontend Hook構築","useCsvAnalysis","useCsvAnalysisを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/analysis/hooks","useCsvAnalysisに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・useCsvAnalysis.ts
　→責務: CSV UploadとReport生成の2段階処理、進捗、Error、Resetを管理するHook。","useCsvAnalysisを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/analysis/hooks/useCsvAnalysis.ts】
・useCsvAnalysis（Hook）
　→CSV UploadとReport生成の2段階Stateを提供する。
・execute（メソッド）
　→uploadCsv後にgenerateReportを行いStateを更新する。
・reset（メソッド）
　→Stateをidleへ戻す。
・toApiError（内部関数）
　→unknown ErrorをApiErrorへ変換する。","・初期
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Uploading
　（未完了Promiseを使い、処理中だけLoading表示と操作無効化が有効になることを確認する。）
・Generating
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・成功
　（依存処理を成功させ、結果Data、Success状態、後続Callbackが正しく反映されることを確認する。）
・各失敗
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・多重
　（処理中に同じ操作を再度実行し、APIやWorkflowが1回だけ呼ばれることを確認する。）
・Reset
　（成功または失敗後にresetを実行し、Data、Error、Progressが初期状態へ戻ることを確認する。）","・Modal→Hook→2 API→Dashboard
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"057","Frontend Hook構築","useRagChat","useRagChatを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/chat/hooks","useRagChatに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・useRagChat.ts
　→責務: Chat Message、Pending、Abort、Error、Resetを管理するHook。","useRagChatを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/chat/hooks/useRagChat.ts】
・useRagChat（Hook）
　→Chat Message、Status、Errorを管理する。
・send（メソッド）
　→前回RequestをAbortしsendRagChatを実行してMessageを更新する。
・reset（メソッド）
　→Messageと状態を初期化する。
・toError（内部関数）
　→unknown値をErrorへ変換する。","・初期
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Pending
　（Deferred Promiseで処理を保留し、Progress表示と二重操作防止を確認する。）
・成功
　（依存処理を成功させ、結果Data、Success状態、後続Callbackが正しく反映されることを確認する。）
・Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・Abort
　（進行中RequestをAbortし、不要なError表示や遅延Response反映が起きないことを確認する。）
・Reset
　（成功または失敗後にresetを実行し、Data、Error、Progressが初期状態へ戻ることを確認する。）","・Drawer→Input→Hook→List
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"058","Frontend Component構築","CSV Dropzone","CSV Dropzoneを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/analysis/components","CSV Dropzoneに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・CsvDropzone.tsx
　→責務: CSV File Inputと選択Buttonを提供し、選択Fileを親Componentへ通知する。","CSV Dropzoneを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【CsvDropzone.tsx】
・onChange（関数/メソッド）
　→InputまたはFile選択の変更をState/Callbackへ反映する。
・onSelect（関数/メソッド）
　→選択されたFileまたはReportを親Componentへ通知する。","・案内
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・accept
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・File選択
　（Test用FileをInputへ設定し、Filename、Type、Size、Callback引数を確認する。）
・未選択
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・CsvUploadModal→Preview
　（ダミーCSVを選択・送信し、保存、Measurement変換、分析、Report生成までを確認する。）"
"059","Frontend Component構築","CSV File Preview","CSV File Previewを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/analysis/components","CSV File Previewに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・CsvFilePreview.tsx
　→責務: 選択済みCSVのFilenameとFile Sizeを利用者へ表示する。","CSV File Previewを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【CsvFilePreview.tsx】
・Math.ceil（関数/メソッド）
　→KB切上げ。","・Filename
　（HeaderまたはMetadataから安全なFilenameが生成・表示されることを確認する。）
・0/1/1024/1025境界
　（最小、最大、等値、直前、直後の値を与え、判定や丸めが仕様どおりであることを確認する。）","・Dropzone選択→Preview
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"060","Frontend Component構築","Analysis Progress","Analysis Progressを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/analysis/components","Analysis Progressに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・AnalysisProgress.tsx
　→責務: CSV確認・分析中にMessageとProgress Indicatorを表示する。","Analysis Progressを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【AnalysisProgress.tsx】
・active判定（関数/メソッド）
　→表示制御。
・progressbar（関数/メソッド）
　→進捗表示。","・非表示
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Message
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Progress
　（処理中にprogressbarと説明文が表示され、完了後に解除されることを確認する。）","・Hook状態→表示切替
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"061","Frontend Component構築","CSV Upload Modal","CSV Upload Modalを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/analysis/components","CSV Upload Modalに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・CsvUploadModal.tsx
　→責務: CSV選択、入力条件、分析実行、進捗、Error、成功通知をModal内で統合する。","CSV Upload Modalを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/analysis/components/CsvUploadModal.tsx】
・CsvUploadModal（Component）
　→CSV入力Dialog全体を表示する。
・resetForm（内部関数）
　→入力とHook状態を初期化する。
・close（内部関数）
　→Reset後にDialogを閉じる。
・handleThresholdChange（内部関数）
　→Threshold入力を更新する。
・handleExecute（内部関数）
　→入力をuseCsvAnalysis.executeへ渡し成功時Callbackを呼ぶ。","・Validation
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Disabled
　（無効条件を与え、Input/Buttonが操作不能でCallbackが呼ばれないことを確認する。）
・Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・開閉
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Focus
　（Modal/DrawerのOpen、Tab移動、Escape、Close後のFocus復帰を確認する。）","・File→Upload→Report→成功通知
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"062","Frontend Component構築","Chat Input","Chat Inputを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/chat/components","Chat Inputに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・ChatInput.tsx
　→責務: 質問入力、Trim、Enter/Click送信、Disabled、Pending表示、Accessible Nameを管理する。","Chat Inputを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【ChatInput.tsx】
・submit（関数/メソッド）
　→入力文字列をTrimし、空文字やDisabledを除外してonSendを呼ぶ。
・setMessage（関数/メソッド）
　→入力保持。
・slotProps.htmlInput（関数/メソッド）
　→aria-label。","・空
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・入力
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Trim
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Click/Enter
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Disabled
　（無効条件を与え、Input/Buttonが操作不能でCallbackが呼ばれないことを確認する。）
・Progress
　（処理中にprogressbarと説明文が表示され、完了後に解除されることを確認する。）
・aria
　（実DOM要素へaria属性が付き、Testing LibraryのRole/Name検索で取得できることを確認する。）","・Drawer→Hook
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"063","Frontend Component構築","Chat Message","Chat Messageを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/chat/components","Chat Messageに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・ChatMessage.tsx
　→責務: User/Assistant MessageとRAG Source MetadataをRole別に表示する。","Chat Messageを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【ChatMessage.tsx】
・isUser（関数/メソッド）
　→Role判定。
・chunkTypeLabels（関数/メソッド）
　→Label。
・map sources（関数/メソッド）
　→Source表示。
・toFixed（関数/メソッド）
　→類似度。","・User
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Assistant Source
　（複数のRAG Sourceを与え、Chunk Type、設備、日付、Similarityが正しく表示されることを確認する。）
・未知Type
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・日付Fallback
　（値欠損または非Error値を与え、既定値・既定Messageへ安全に置換されることを確認する。）
・Sourceなし
　（複数のRAG Sourceを与え、Chunk Type、設備、日付、Similarityが正しく表示されることを確認する。）","・MessageList表示
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"064","Frontend Component構築","Chat Message List","Chat Message Listを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/chat/components","Chat Message Listに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・ChatMessageList.tsx
　→責務: Empty、Message一覧、回答生成中Progressを表示する。","Chat Message Listを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【ChatMessageList.tsx】
・messages.map（関数/メソッド）
　→一覧。
・empty条件（関数/メソッド）
　→Empty。
・isPending（関数/メソッド）
　→非同期処理中かを派生値として返し、二重操作防止に使用する。","・Empty
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・複数Message
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Pending
　（Deferred Promiseで処理を保留し、Progress表示と二重操作防止を確認する。）
・Empty+Pending
　（Deferred Promiseで処理を保留し、Progress表示と二重操作防止を確認する。）","・useRagChat状態接続
　（質問入力からRAG検索、AI回答、Message追加、Source表示までを確認する。）"
"065","Frontend Component構築","AI Chat Drawer","AI Chat Drawerを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/chat/components","AI Chat Drawerに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・AiChatDrawer.tsx
　→責務: Drawer開閉とChat Hook、Message List、Inputを統合する。","AI Chat Drawerを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/chat/components/AiChatDrawer.tsx】
・AiChatDrawer（Component）
　→Chat Drawer、Context、Message、Inputを統合する。
・toMonthRange（内部関数）
　→対象年月をBackend Filter用Date Rangeへ変換する。
・handleSend（内部関数）
　→質問とFilterをuseRagChat.sendへ渡す。","・Opening
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Error/Empty
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・Disabled
　（無効条件を与え、Input/Buttonが操作不能でCallbackが呼ばれないことを確認する。）
・Focus
　（Modal/DrawerのOpen、Tab移動、Escape、Close後のFocus復帰を確認する。）","・Input→Hook→API→List
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"066","Frontend Component構築","PDF Download Button","PDF Download Buttonを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/reports/components","PDF Download Buttonに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・PdfDownloadButton.tsx
　→責務: Report IDをPDF APIへ渡し、Pending、Disabled、Error Tooltipを管理する。","PDF Download Buttonを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【PdfDownloadButton.tsx】
・handleDownload（関数/メソッド）
　→DownloadのPending/Errorを管理しながらPDF APIを呼ぶ。
・pending state（関数/メソッド）
　→多重防止。
・error state（関数/メソッド）
　→Tooltip。","・IDなし
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・正常
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・Pending
　（Deferred Promiseで処理を保留し、Progress表示と二重操作防止を確認する。）
・Error/Fallback
　（値欠損または非Error値を与え、既定値・既定Messageへ安全に置換されることを確認する。）","・Modal→Button→PDF API
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"067","Frontend Component構築","Report List Item","Report List Itemを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/reports/components","Report List Itemに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・ReportListItem.tsx
　→責務: Report 1件の情報、Status、Fallback値、選択ButtonをTable Rowとして表示する。","Report List Itemを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【ReportListItem.tsx】
・statusColors（関数/メソッド）
　→色。
・Fallback（関数/メソッド）
　→設備/作成者。
・onSelect（関数/メソッド）
　→選択されたFileまたはReportを親Componentへ通知する。","・各Field
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Fallback
　（値欠損または非Error値を与え、既定値・既定Messageへ安全に置換されることを確認する。）
・3 Status
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Click
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・ReportList伝播
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"068","Frontend Component構築","Report List","Report Listを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/reports/components","Report Listに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・ReportList.tsx
　→責務: 検索欄、Filter、Header、Report行、Pagination表示を一覧Componentとして構成する。","Report Listを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【ReportList.tsx】
・reports.map（関数/メソッド）
　→行生成。
・labelDisplayedRows（関数/メソッド）
　→Paginationに「総件数中 開始-終了件」を表示する。
・onSelect（関数/メソッド）
　→選択されたFileまたはReportを親Componentへ通知する。","・Title/Control/Header
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・一覧
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・空
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・件数
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・選択
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Dashboard→List→Modal
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"069","Frontend Component構築","Report Detail Modal","Report Detail Modalを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/reports/components","Report Detail Modalに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・ReportDetailModal.tsx
　→責務: 選択Reportの分析・AI結果とPDF DownloadをModalへ表示する。","Report Detail Modalを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【ReportDetailModal.tsx】
・open/close（関数/メソッド）
　→Modal制御。
・report mapping（関数/メソッド）
　→詳細表示。
・detail sections（関数/メソッド）
　→Section構築。","・表示
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・各Section
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・長文
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・PDF
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Focus
　（Modal/DrawerのOpen、Tab移動、Escape、Close後のFocus復帰を確認する。）","・List選択→Modal→PDF
　（Report取得からPDF生成、HTTP返却、実File開封までを確認する。）"
"070","Frontend Component構築","Health Status","Health Statusを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/health/components","Health Statusに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・health-status.tsx
　→責務: Backend Healthを初回確認し、Loading、Success、Errorを表示する。","Health Statusを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【frontend/src/features/health/components/health-status.tsx】
・HealthStatus（Component）
　→Backend接続状態を表示する。
・checkHealth（内部関数）
　→getHealthを呼びStateをconnected/errorへ更新する。","・Loading
　（未完了Promiseを使い、処理中だけLoading表示と操作無効化が有効になることを確認する。）
・Success
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）
・非Error Fallback
　（値欠損または非Error値を与え、既定値・既定Messageへ安全に置換されることを確認する。）","・実Backend停止/起動
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"071","Frontend Component構築","Dashboard Header","Dashboard Headerを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend/src/features/dashboard/components","Dashboard Headerに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・DashboardHeader.tsx
　→責務: Dashboard Titleと主要操作を上部に表示する。","Dashboard Headerを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【DashboardHeader.tsx】
・Props表示（関数/メソッド）
　→Title/条件。
・操作Callback（関数/メソッド）
　→親通知。","・Title/Label
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Button Role
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・DashboardContent接続
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
