"処理No.","タスク名（大項目）","タスク名（中項目）","タスク詳細","ディレクトリ名","ディレクトリ詳細","ファイル名","ファイル詳細","メソッドクラス詳細","単体テスト","結合テスト"
"011","環境構築","Backend依存関係構築","Backend依存関係構築を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend","Backend依存関係構築に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/requirements.txt
　→責務: Backend実行・開発依存を固定する。","Backend依存関係構築を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【requirements.txt】
・pip install（関数/メソッド）
　→依存導入。
・Version pin（関数/メソッド）
　→Version固定。","・Import Smoke
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・依存競合
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・仮想環境再構築
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"012","環境構築","Frontend依存関係構築","Frontend依存関係構築を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","frontend","Frontend依存関係構築に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・package.json
　→責務: Frontend依存関係とdev、build、lint、type-check、test、coverage、check Scriptを管理する。
・package-lock.json
　→責務: npm依存関係の解決Versionを固定し、WindowsとMacで同じ依存Treeを再現する。
・処理の流れ: package.json → package-lock.json
　→上流Fileが入力・設定を作り、下流Fileが業務処理、永続化、表示または検証を担当する。","Frontend依存関係構築を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【package.json】
・npm scripts（関数/メソッド）
　→開発・品質Command。
・package-lock（関数/メソッド）
　→Version固定。","・npm ls
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・npm audit
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・npm ci
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・Next.js起動
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"013","データベース設計","テーブル・ER設計","テーブル・ER設計を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","docs","テーブル・ER設計に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・database.md
　→責務: Table、Column、PK/FK、制約、Index、Data保持方針を設計資料として管理する。","テーブル・ER設計を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【database.md】
・UploadedFile（関数/メソッド）
　→CSV管理。
・Measurement（関数/メソッド）
　→時系列値。
・Report（関数/メソッド）
　→分析結果。
・ReportChunk（関数/メソッド）
　→RAG単位。","・Modelレビュー
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・制約境界
　（最小、最大、等値、直前、直後の値を与え、判定や丸めが仕様どおりであることを確認する。）","・CRUD結合
　（関連Moduleを実際に接続し、Input、Output、Error、状態の受渡しを確認する。）
・Transaction
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"014","データベース構築","SQLAlchemy Model作成","SQLAlchemy Model作成を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/models","SQLAlchemy Model作成に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/models/user.py
　→責務: User Modelを定義する。
・backend/src/models/uploaded_file.py
　→責務: CSV File Metadataと処理Statusを定義する。
・backend/src/models/report.py
　→責務: 分析Reportを定義する。
・backend/src/models/report_chunk.py
　→責務: RAG ChunkとVECTOR(1536)を定義する。","現行ModelはUser、UploadedFile、Report、ReportChunkの4種類。CSV内の全測定値を保存するMeasurement Modelは存在しない。","【backend/src/models/user.py】
・User（クラス）
　→利用者情報を表すSQLAlchemy Model。
【backend/src/models/uploaded_file.py】
・UploadedFile（クラス）
　→Upload CSVのMetadataとStatusを表す。
【backend/src/models/report.py】
・Report（クラス）
　→分析結果とAI文章を表す。
【backend/src/models/report_chunk.py】
・ReportChunk（クラス）
　→RAG検索単位とEmbeddingを表す。","・Model生成
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Constraint
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Relationship
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Repository→PostgreSQL
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・Rollback
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"015","データベース構築","Alembic Migration作成","Alembic Migration作成を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/migrations","Alembic Migration作成に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・alembic.ini
　→責務: Alembicの接続・Script Location等を設定する。
・backend/migrations/env.py
　→責務: Application ModelをAlembicへ接続する。
・backend/migrations/versions/15a61de1c13e_create_initial_four_tables.py
　→責務: User、UploadedFile、Report、ReportChunkの初期Schemaを作成する。","Alembic Migration作成を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/migrations/versions/15a61de1c13e_create_initial_four_tables.py】
・upgrade（関数）
　→初期4 TableとIndex、Constraintを作成する。
・downgrade（関数）
　→初期Schemaを安全な順序で削除する。","・Migration review
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Model差分
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・空DB upgrade head
　（Test PostgreSQLへ保存・検索を行い、Schema、制約、Transaction、取得結果の整合を確認する。）
・既存DB適用
　（Test PostgreSQLへ保存・検索を行い、Schema、制約、Transaction、取得結果の整合を確認する。）"
"016","Backend基盤構築","FastAPIアプリ初期化","FastAPIアプリ初期化を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src","FastAPIアプリ初期化に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/main.py
　→責務: FastAPI Applicationを生成し、CORS、v1 Router、Root、Health Endpointを登録する。
・backend/src/api/v1/router.py
　→責務: files、reports、search、chat、measurements Routerを集約する。","FastAPIアプリ初期化を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/main.py】
・root（関数）
　→Root EndpointでApplication情報を返す。
・health_check（関数）
　→GET /healthで稼働状態を返す。
【backend/src/api/v1/router.py】
・api_router（Router）
　→機能別Routerを/api/v1配下へ集約する。","・App生成
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Route一覧
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・CORS
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・TestClient
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・Health/OpenAPI
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"017","Backend基盤構築","設定管理","設定管理を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/core","設定管理に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・config.py
　→責務: 環境変数を型付き設定へ変換し、DB、AI、Storage、CORS設定を各層へ提供する。","設定管理を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【config.py】
・Settings（関数/メソッド）
　→環境変数型変換。
・Validation（関数/メソッド）
　→必須値検証。","・既定値
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・必須値不足
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・型変換
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・.env読込
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）
・Docker連携
　（Containerを起動し、Network、Environment、Volume、Healthcheck、Service間通信を確認する。）"
"018","Backend基盤構築","DB Session管理","DB Session管理を実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/db","DB Session管理に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/db/session.py
　→責務: SQLAlchemy EngineとSession Factoryを管理する。
・backend/src/db/dependencies.py
　→責務: FastAPI DependencyとしてDB Sessionを提供する。
・backend/src/db/base.py
　→責務: SQLAlchemy Declarative Baseを定義する。","DB Session管理を実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/db/session.py】
・get_db_session（Generator関数）
　→Sessionを生成し、完了時にCloseする。
【backend/src/db/dependencies.py】
・get_db_session（Dependency関数）
　→APIへSessionを注入する。
【backend/src/db/base.py】
・Base（クラス）
　→全ModelのDeclarative Base。","・Session生成/Close
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Dependency override
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・API→Repository→DB
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）
・Rollback
　（関連Moduleを実際に接続し、前段の出力が後段へ正しく渡り、最終結果と失敗時の整合性が保たれることを確認する。）"
"019","API構築","Health API","Health APIを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src","Health APIに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/main.py
　→責務: GET /health Endpointを直接定義する。独立したhealth.pyは存在しない。","Health APIを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/main.py】
・health_check（関数）
　→status=okとservice名を返す。","・Response Schema
　（Mock Responseを与え、型、Field、Status、MappingがAPI契約と一致することを確認する。）
・Status Code
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）","・Frontend HealthStatus疎通
　（親Component、Hook、APIを接続し、利用者操作から表示更新までを確認する。）"
"020","ファイル・CSV構築","Upload API","Upload APIを実務的な順序で設計・実装し、後続工程が再利用できる成果物を作成する。入力、処理、出力、例外、設定、確認手順を明確にする。想定工数はTask規模に応じて1～24時間程度とし、外部Serviceや複合Workflowは追加時間を見込む。","backend/src/api/v1","Upload APIに関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/api/v1/files.py
　→責務: POST /api/v1/filesを提供しFileService.save_csvへ委譲する。
・backend/src/schemas/file_schema.py
　→責務: Upload Response等を型定義する。","Upload APIを実現する主要成果物。上流の設定・入力を受け、対象処理を実行し、後続処理または検証へ結果を渡す。","【backend/src/api/v1/files.py】
・upload_csv_file（関数）
　→multipart CSV、equipment_id、measurement_date、encodingを受けて保存結果を返す。","・正常CSV
　（有効な入力とMock Responseを与え、期待する戻り値、状態更新、呼出引数になることを確認する。）
・空/列不足
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・MIME
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・重複
　（同一ID、Checksum、二重Click等を発生させ、重複登録・重複通信を防止することを確認する。）
・DB Error
　（依存処理を失敗させ、Error変換、利用者向けMessage、状態復旧が正しいことを確認する。）","・API→FileService→Repository→Storage
　（実際のRouter、Service、RepositoryまたはMock Serverを接続し、RequestからResponseまでの契約を確認する。）"
"021","ファイル・CSV構築","CSV検証・解析","【実装済み】CSV File本体をdata/uploadsへ保存し、必要時にCSVを読み込む。CSV内の全測定値を専用Tableへ保存しない。","backend/src/services","CSV検証・解析に関係するSource、設定、Test、文書を配置し、責務ごとに変更範囲を追跡できるようにする。","・backend/src/services/file_service.py
　→責務: Upload Fileの名前、拡張子、MIME、設備ID、Size、Checksum、保存、DB登録を担当する。
・backend/src/services/csv_service.py
　→責務: 保存済みCSVの読込、必須列、日時、数値、欠損を検証する。","FileServiceは物理FileとUploadedFile Metadataを管理し、CsvServiceは分析時にCSVをDataFrameへ読み込んで検証する。Measurement専用Tableへの保存は行わない。","【backend/src/services/file_service.py】
・FileService（クラス）
　→CSV File保存ユースケースを担当する。
・save_csv（メソッド）
　→File検証、Checksum重複確認、安全な保存、UploadedFile登録を行う。
・_calculate_checksum（内部メソッド）
　→SHA-256 Checksumを計算する。
【backend/src/services/csv_service.py】
・CsvService（クラス）
　→CSVの読込と内容検証を担当する。
・load（メソッド）
　→保存済みCSVを読み込む。
・validate（メソッド）
　→必須列、日時、数値、欠損を検証する。","・Encoding
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・空行
　（空配列、空文字、空File等を与え、仕様どおり拒否またはEmpty表示になることを確認する。）
・不正日時
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・NaN
　（対象処理へ代表入力と境界・異常入力を与え、戻り値、状態、依存呼出、Error処理が仕様どおりであることを確認する。）
・Path
　（特殊文字を含むIDやFilenameを与え、安全なPath生成とTraversal防止を確認する。）","・File保存とDB登録
　（CSV本体がdata/uploadsへ保存され、UploadedFile MetadataがDBへ登録されることを確認する。）
・分析時CSV読込
　（Measurement APIや分析Graphが保存済みCSVを読み込み、時系列Responseまたは分析結果へ変換することを確認する。）"
